observation_date,DTB3
2022-01-03,0.09
2022-01-04,0.08
2022-01-05,0.09
2022-01-06,0.10
2022-01-07,0.10
2022-01-10,0.13
2022-01-11,0.12
2022-01-12,0.12
2022-01-13,0.12
2022-01-14,0.13
2022-01-17,
2022-01-18,0.17
2022-01-19,0.17
2022-01-20,0.18
2022-01-21,0.17
2022-01-24,0.20
2022-01-25,0.20
2022-01-26,0.19
2022-01-27,0.20
2022-01-28,0.19
2022-01-31,0.24
2022-02-01,0.20
2022-02-02,0.20
2022-02-03,0.21
2022-02-04,0.23
2022-02-07,0.28
2022-02-08,0.27
2022-02-09,0.27
2022-02-10,0.41
2022-02-11,0.37
2022-02-14,0.45
2022-02-15,0.41
2022-02-16,0.39
2022-02-17,0.37
2022-02-18,0.35
2022-02-21,
2022-02-22,0.39
2022-02-23,0.36
2022-02-24,0.33
2022-02-25,0.33
2022-02-28,0.37
2022-03-01,0.32
2022-03-02,0.33
2022-03-03,0.37
2022-03-04,0.33
2022-03-07,0.38
2022-03-08,0.36
2022-03-09,0.38
2022-03-10,0.38
2022-03-11,0.39
2022-03-14,0.45
2022-03-15,0.46
2022-03-16,0.43
2022-03-17,0.40
2022-03-18,0.41
2022-03-21,0.55
2022-03-22,0.51
2022-03-23,0.50
2022-03-24,0.50
2022-03-25,0.53
2022-03-28,0.60
2022-03-29,0.56
2022-03-30,0.55
2022-03-31,0.51
2022-04-01,0.52
2022-04-04,0.67
2022-04-05,0.65
2022-04-06,0.67
2022-04-07,0.68
2022-04-08,0.69
2022-04-11,0.78
2022-04-12,0.74
2022-04-13,0.75
2022-04-14,0.78
2022-04-15,
2022-04-18,0.82
2022-04-19,0.82
2022-04-20,0.82
2022-04-21,0.82
2022-04-22,0.82
2022-04-25,0.93
2022-04-26,0.84
2022-04-27,0.82
2022-04-28,0.81
2022-04-29,0.83
2022-05-02,0.90
2022-05-03,0.90
2022-05-04,0.88
2022-05-05,0.84
2022-05-06,0.84
2022-05-09,0.92
2022-05-10,0.89
2022-05-11,0.90
2022-05-12,0.95
2022-05-13,1.01
2022-05-16,1.07
2022-05-17,1.06
2022-05-18,1.02
2022-05-19,1.04
2022-05-20,1.01
2022-05-23,1.07
2022-05-24,1.05
2022-05-25,1.05
2022-05-26,1.06
2022-05-27,1.06
2022-05-30,
2022-05-31,1.13
2022-06-01,1.12
2022-06-02,1.13
2022-06-03,1.17
2022-06-06,1.23
2022-06-07,1.24
2022-06-08,1.25
2022-06-09,1.26
2022-06-10,1.34
2022-06-13,1.69
2022-06-14,1.78
2022-06-15,1.69
2022-06-16,1.54
2022-06-17,1.58
2022-06-20,
2022-06-21,1.66
2022-06-22,1.57
2022-06-23,1.59
2022-06-24,1.66
2022-06-27,1.75
2022-06-28,1.75
2022-06-29,1.73
2022-06-30,1.66
2022-07-01,1.66
2022-07-04,
2022-07-05,1.86
2022-07-06,1.85
2022-07-07,1.89
2022-07-08,1.91
2022-07-11,2.13
2022-07-12,2.16
2022-07-13,2.33
2022-07-14,2.33
2022-07-15,2.29
2022-07-18,2.44
2022-07-19,2.46
2022-07-20,2.44
2022-07-21,2.40
2022-07-22,2.41
2022-07-25,2.55
2022-07-26,2.48
